word,hint
路不拾遗,遗
恬不知耻,恬
货真价实,货
彬彬有礼,彬
里里外外,里
志在必得,得
十指连心,心
如痴如醉,醉
一诺无辞,无
婀娜多姿,娜
不期而遇,遇
见缝插针,见
颐指气使,气
相见恨晚,恨
心甘情愿,甘
穷奢极欲,穷
艰苦卓绝,苦
水天一色,色
有心无力,心
志同道合,志
错综复杂,错
名不虚传,虚
夫唱妇随,唱
万无一失,万
姹紫嫣红,嫣
荡然无存,存
耿耿于怀,怀
切肤之痛,痛
天南海北,
地动山摇,
福寿安康,
虎虎生威,虎
酒虎诗龙,虎
虎啸风生,虎
卧虎藏龙,虎
虎视眈眈,虎
因噎废食,食
异口同声,声
雄心勃勃,
一面之辞,
百年树人,人
井然有条,
变化莫测,
入木三分,木
瓜田李下,下
本性难移,
春华秋实,
地北天南,
口是心非,是
同甘共苦,同
吃里扒外,
百废待兴,
语不投机,
各有千秋,
惊世骇俗,世
穷山恶水,
应对如流,
见风使舵,
锦上添花,花
蓬荜生辉,生
首当其冲,其
见义勇为,为
回天乏术,天
胆战心惊,心
无中生有,生
愤世嫉俗,世
寄人篱下,下
谈笑风生,风
轻声细语,语
不言而喻,言
不翼而飞,飞
人老珠黄,黄
自不量力,力
燃眉之急,眉
鬼斧神工,鬼
花前月下,月
走马观花,花
孜孜不倦,不
行尸走肉,行
平步青云,云
飞蛾扑火,火
坐吃山空,山
铁石心肠,石
风调雨顺,雨
春风化雨,风
高深莫测,高
独树一帜,一
千姿百态,百
国泰民安,安
苦口婆心,心
独具匠心,心
鸡犬不宁,不
众目睽睽,目
火上浇油,上
无往不利,不
敬而远之,而
喜出望外,出
身临其境,其
声名鹊起,名
与世无争,无
未雨绸缪,雨
百里挑一,百
排山倒海,山
闲情逸致,情
蝇头小利,小
志在千里,千
急转直下,下
不耻下问,下
杯水车薪,车
适得其反,其
百口莫辩,口
精益求精,精
日新月异,日
返老还童,老
猴年马月,年
居安思危,安
拾金不昧,金
同归于尽,于
义结金兰,金
破釜沉舟,破
殊途同归,同
昙花一现,现
囫囵吞枣,吞
戴罪立功,立
花容月貌,月
光阴似箭,似
闭门造车,门
举一反三,一
若无其事,无
见仁见智,见
颠三倒四,四
矢志不渝,不
既往不咎,不
鲜为人知,人
口耳相传,口
纸上谈兵,上
今非昔比,比
如履薄冰,冰
釜底抽薪,底
成王败寇,成
不寒而栗,而
飞来横祸,来
雪中送炭,中
百家争鸣,家
琳琅满目,目
普天同庆,同
神出鬼没,出
玉石俱焚,石
按部就班,班
天马行空,马
惊弓之鸟,鸟
民不聊生,生
前功尽弃,尽
痴人说梦,人
杯弓蛇影,影
败兴而归,兴
穷困潦倒,困
和蔼可亲,可
半信半疑,半
信口雌黄,口
入土为安,为
难兄难弟,兄
塞翁失马,马
举手之劳,手
过河拆桥,河
鼠目寸光,目
德高望重,重
心不在焉,不
乐不思蜀,不
水性杨花,花
捉襟见肘,见
飞檐走壁,走
上蹿下跳,下
鸡飞蛋打,飞
雾里看花,里
中流砥柱,中
阴差阳错,差
风起云涌,云
背井离乡,离
否极泰来,来
掩耳盗铃,耳
循规蹈矩,循
心宽体胖,心
左邻右舍,右
张牙舞爪,牙
若隐若现,隐
腰缠万贯,万
拖泥带水,水
鳏寡孤独,独
南辕北辙,北
玩世不恭,不
家喻户晓,家
金蝉脱壳,金
逢凶化吉,吉
藕断丝连,丝
集思广益,思
白雪皑皑,雪
泰然自若,自
缘木求鱼,鱼
洛阳纸贵,阳
博大精深,大
笨鸟先飞,飞
一蹶不振,不
花拳绣腿,花
日理万机,万
做贼心虚,心
欲盖弥彰,彰
吉光片羽,光
大张旗鼓,大
头晕目眩,目
酣畅淋漓,畅
水涨船高,水
一步登天,天
颠倒是非,是
步步为营,为
天方夜谭,天
得天独厚,天
甘之如饴,之
鹏程万里,万
差强人意,人
寂然无声,然
形影不离,不
鱼目混珠,目
暴殄天物,天
临危不惧,不
含辛茹苦,苦
以卵击石,以
腥风血雨,风
马不停蹄,不
大智若愚,大
称心如意,心
四平八稳,四
狼心狗肺,心
快马加鞭,马
冰清玉洁,玉
放荡不羁,不
八仙过海,过
忐忑不安,安
满目疮痍,目
怒发冲冠,发
前赴后继,后
